Time [s],Channel 0
12.445603520,0
12.446076480,1
12.446439360,0
12.446441280,1
12.446442560,0
12.446444960,1
12.446445760,0
12.446919040,1
12.447281440,0
12.447283520,1
12.447284640,0
12.447287040,1
12.447288000,0
12.447760800,1
12.448123680,0
12.448125760,1
12.448126880,0
12.448129280,1
12.448130240,0
12.448603040,1
12.448965920,0
12.448968000,1
12.448969120,0
12.448971520,1
12.448972320,0
12.449445280,1
12.449808160,0
12.449810080,1
12.449811360,0
12.449813760,1
12.449814560,0
12.450287840,1
12.450650240,0
12.450652320,1
12.450653440,0
12.450656000,1
12.450656800,0
12.451129600,1
12.451492480,0
12.451494560,1
12.451495680,0
12.451498080,1
12.451499040,0
12.451972160,1
12.452334720,0
12.452336800,1
12.452337920,0
12.452340320,1
12.452341280,0
12.452814080,1
12.453176960,0
12.453178880,1
12.453180160,0
12.453182560,1
12.453183360,0
12.453656480,1
12.454019040,0
12.454021120,1
12.454022240,0
12.454024800,1
12.454025600,0
12.454498720,1
12.454861440,0
12.454863360,1
12.454864640,0
12.454866880,1
12.454867840,0
12.455340800,1
12.455703680,0
12.455705600,1
12.455706880,0
12.455709280,1
12.455710080,0
12.456183360,1
12.456545920,0
12.456548000,1
12.456549120,0
12.456551520,1
12.456552320,0
12.457025280,1
12.457388160,0
12.457390240,1
12.457391360,0
12.457393760,1
12.457394560,0
12.457867840,1
12.458230400,0
12.458232480,1
12.458233600,0
12.458236000,1
12.458236960,0
12.458709920,1
12.459968800,0
12.459970720,1
12.459972000,0
12.459974240,1
12.459975200,0
12.460421600,1
12.460784000,0
12.460785920,1
12.460787200,0
12.460789760,1
12.460790400,0
12.461263520,1
12.461626240,0
12.461628160,1
12.461629440,0
12.461631840,1
12.461632640,0
12.462105760,1
12.463364640,0
12.463366720,1
12.463367840,0
12.463370240,1
12.463371200,0
12.463817440,1
15.597568000,1
